id,title,repo,epic,priority,size,serialize,milestone,blocked_by,labels
046,Scaffold atlure-api with the Supabase CLI and a Hono skeleton,atlure-api,backend,P0,M,Yes,M3,010 Create the Supabase project in an EU region,epic:backend; type:scaffold; serialize
047,Schema: profiles / role switching and pets,atlure-api,backend,P0,M,Yes,M3,046 Scaffold atlure-api with the Supabase CLI and a Hono skeleton,epic:backend; type:schema; serialize
048,Schema: sitter profiles / services and availability,atlure-api,backend,P0,M,Yes,M3,047 Schema: profiles / role switching and pets,epic:backend; type:schema; serialize
049,PostGIS geography column / GiST index and the sitter radius search RPC,atlure-api,backend,P0,M,Yes,M3,048 Schema: sitter profiles / services and availability,epic:backend; type:schema; area:postgis; serialize
050,Schema: service requests / bookings and status transitions,atlure-api,backend,P0,L,Yes,M3,048 Schema: sitter profiles / services and availability,epic:backend; type:schema; serialize
051,Schema and Realtime: conversations / messages and live tracking channels,atlure-api,backend,P0,L,Yes,M3,050 Schema: service requests / bookings and status transitions,epic:backend; type:schema; area:realtime; serialize
052,Schema: reviews / ratings and aggregate rollups,atlure-api,backend,P1,M,Yes,M5,050 Schema: service requests / bookings and status transitions,epic:backend; type:schema; serialize
053,Storage buckets: public pet photos and private ID documents,atlure-api,backend,P0,M,Yes,M3,048 Schema: sitter profiles / services and availability,epic:backend; type:schema; area:storage; area:security; serialize
054,RLS policies across every table / with an adversarial verification suite,atlure-api,backend,P0,L,Yes,M3,047 Schema: profiles / role switching and pets; 048 Schema: sitter profiles / services and availability; 050 Schema: service requests / bookings and status transitions; 051 Schema and Realtime: conversations / messages and live tracking channels; 052 Schema: reviews / ratings and aggregate rollups,epic:backend; type:schema; area:security; serialize
055,Seed data at known coordinates and the shared generated DB types,atlure-api,backend,P0,M,No,M3,054 RLS policies across every table / with an adversarial verification suite,epic:backend; type:test; area:fixtures
056,Hono service: auth middleware / error envelope and deployment,atlure-api,backend,P1,M,No,M4,046 Scaffold atlure-api with the Supabase CLI and a Hono skeleton; 054 RLS policies across every table / with an adversarial verification suite,epic:backend; type:service; area:hono
057,Hono business logic: matching / notification fan-out and scheduled jobs,atlure-api,backend,P1,L,No,M5,056 Hono service: auth middleware / error envelope and deployment; 050 Schema: service requests / bookings and status transitions,epic:backend; type:service; area:hono
001,Salvage uncommitted Desktop work to salvage/pre-atlure,admin,decommission,P0,S,No,M0,,epic:decommission; status:done; type:salvage
002,Create and clone the four atlure repos,admin,decommission,P0,S,No,M0,,epic:decommission; status:done; type:scaffold
003,Gitignore .env across all four new repos,admin,decommission,P1,XS,No,M0,002 Create and clone the four atlure repos,epic:decommission; type:hygiene; area:security
004,Remove tracked .cursor/mcp.json and gitleaks-scan predecessor history,admin,decommission,P2,S,No,M0,003 Gitignore .env across all four new repos,epic:decommission; type:hygiene; area:security
005,Archive pawlii / pawlii-ui and PawliiApp,admin,decommission,P2,XS,No,M1,001 Salvage uncommitted Desktop work to salvage/pre-atlure; 004 Remove tracked .cursor/mcp.json and gitleaks-scan predecessor history; 006 npm deprecate @simpxlify/pawlii-ui pointing at @atlure/ui,epic:decommission; type:hygiene
006,npm deprecate @simpxlify/pawlii-ui pointing at @atlure/ui,admin,decommission,P2,XS,No,M2,018 Scaffold @atlure/ui as a source-shipping package,epic:decommission; type:hygiene; area:npm
007,Delete the old pawlii EAS project,admin,decommission,P3,XS,No,M6,058 Scaffold atlure-paw with expo-router and locked identifiers,epic:decommission; type:hygiene; area:eas
008,Grant gh CLI the project scope,admin,decommission,P0,XS,No,M0,,epic:decommission; type:manual; blocked:waiting-on-external; needs:david
009,Create the @atlure npm org and publish token,admin,decommission,P0,XS,No,M0,,epic:decommission; type:manual; blocked:waiting-on-external; needs:david; area:npm
010,Create the Supabase project in an EU region,admin,decommission,P0,XS,No,M0,,epic:decommission; type:manual; blocked:waiting-on-external; needs:david; area:supabase
011,Reserve com.atlure.paw on App Store Connect and Google Play,admin,decommission,P1,S,No,M0,,epic:decommission; type:manual; blocked:waiting-on-external; needs:david; area:stores
012,Create the Vercel project and wire www.atlure.com,admin,decommission,P1,S,No,M0,002 Create and clone the four atlure repos,epic:decommission; type:manual; blocked:waiting-on-external; needs:david; area:vercel
013,Scaffold the atlure-ui pnpm workspace with pinned dependencies,atlure-ui,ds-foundations,P0,M,Yes,M1,002 Create and clone the four atlure repos,epic:ds-foundations; type:scaffold; serialize
014,Build @atlure/types with the corrected domain model,atlure-ui,ds-foundations,P0,M,Yes,M1,013 Scaffold the atlure-ui pnpm workspace with pinned dependencies,epic:ds-foundations; type:package; serialize
015,Token parity test suite across all six generated artifacts,atlure-ui,ds-foundations,P0,M,No,M1,013 Scaffold the atlure-ui pnpm workspace with pinned dependencies,epic:ds-foundations; type:test; area:tokens
016,Token checksum test and a lint rule banning raw hex,atlure-ui,ds-foundations,P0,S,No,M1,013 Scaffold the atlure-ui pnpm workspace with pinned dependencies,epic:ds-foundations; type:test; area:tokens
017,Publish @atlure/tailwind-preset with self-configuring content globs,atlure-ui,ds-foundations,P0,M,Yes,M1,013 Scaffold the atlure-ui pnpm workspace with pinned dependencies; 015 Token parity test suite across all six generated artifacts,epic:ds-foundations; type:package; area:tokens; serialize
018,Scaffold @atlure/ui as a source-shipping package,atlure-ui,ds-foundations,P0,M,Yes,M1,013 Scaffold the atlure-ui pnpm workspace with pinned dependencies; 014 Build @atlure/types with the corrected domain model; 017 Publish @atlure/tailwind-preset with self-configuring content globs,epic:ds-foundations; type:package; area:nativewind; serialize
019,Scaffold @atlure/ui-web sharing cva recipes with the native package,atlure-ui,ds-foundations,P1,S,Yes,M2,018 Scaffold @atlure/ui as a source-shipping package,epic:ds-foundations; type:package; serialize
020,Generate every barrel index.ts from a glob at build time,atlure-ui,ds-foundations,P0,S,Yes,M1,018 Scaffold @atlure/ui as a source-shipping package,epic:ds-foundations; type:tooling; area:conflict-hotspot; serialize
021,Configure changesets with a fixed version group across @atlure/*,atlure-ui,ds-foundations,P0,S,Yes,M1,013 Scaffold the atlure-ui pnpm workspace with pinned dependencies,epic:ds-foundations; type:tooling; area:release; serialize
022,Release workflow as the only publisher / plus a next dist-tag,atlure-ui,ds-foundations,P0,M,Yes,M1,009 Create the @atlure npm org and publish token; 021 Configure changesets with a fixed version group across @atlure/*; 023 Packaging CI gates: publint / attw and a pack-manifest snapshot,epic:ds-foundations; type:ci; area:release; serialize
023,Packaging CI gates: publint / attw and a pack-manifest snapshot,atlure-ui,ds-foundations,P0,M,No,M1,018 Scaffold @atlure/ui as a source-shipping package; 019 Scaffold @atlure/ui-web sharing cva recipes with the native package,epic:ds-foundations; type:ci; area:release
024,Install the published tarballs into scratch Expo and Next apps,atlure-ui,ds-foundations,P0,M,No,M2,022 Release workflow as the only publisher / plus a next dist-tag; 023 Packaging CI gates: publint / attw and a pack-manifest snapshot,epic:ds-foundations; type:test; area:release
025,Storybook workbench in apps/ / never published,atlure-ui,ds-foundations,P1,M,No,M2,018 Scaffold @atlure/ui as a source-shipping package; 020 Generate every barrel index.ts from a glob at build time,epic:ds-foundations; type:tooling; area:storybook
026,@atlure/icons: one lucide wrapper for native and web,atlure-ui,ds-native,P0,S,No,M2,018 Scaffold @atlure/ui as a source-shipping package,epic:ds-native; type:package; area:icons
027,Text primitive and the typography scale,atlure-ui,ds-native,P0,S,No,M2,018 Scaffold @atlure/ui as a source-shipping package; 026 @atlure/icons: one lucide wrapper for native and web,epic:ds-native; type:component
028,Button and IconButton,atlure-ui,ds-native,P0,M,No,M2,027 Text primitive and the typography scale,epic:ds-native; type:component
029,Card family and Separator,atlure-ui,ds-native,P0,S,No,M2,027 Text primitive and the typography scale,epic:ds-native; type:component
030,Badge / Chip / UrgencyBadge and StarRating,atlure-ui,ds-native,P0,M,No,M2,027 Text primitive and the typography scale; 026 @atlure/icons: one lucide wrapper for native and web,epic:ds-native; type:component
031,Avatar / AvatarGroup and presence indicator,atlure-ui,ds-native,P1,S,No,M2,027 Text primitive and the typography scale,epic:ds-native; type:component
